Product Name,Model,Category,Image(s),Specs,Price (INR),Discount Info,Slide No,Brand,Stock Status,Keywords,Usage Description,cloudinary_url
1/4 Push To Start Auto Shut Off Air Screwdriver,DB-SD-Q65PB,Screwdriver,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/vuo6NC4OpcvimBaxgPKlXA/xcD-DzDMlkiOA5Olqq5eH1kICvqoIy9s6v8xnmqZUgTHdoqERSnHWzQAYR0u6R5yoeyK7eBSlzyS-4rt_ded_V1u2eyW7DFy7FJXU2viJd3QI9NBSlVHkHIGCR4fv4xi89B4Oz2Qf-tOq2k0cYQk9vyFIq6nfkgl3x--0eMRcIQ/S2F2Fj9xKI3K_0C09LKVsgnAeljTj9_FwhslOJYDvIc),"Hex Shank Size: 1/4, Free Speed (RPM): 300, Torque Range: 30-180 Kgs/Cm, Screwing Capacity: Mechanical M5.0-M9.3, Self Tapping M4.0-M7.2, Overall Length: 8.1/4/215mm, Diameter: 42mm, Air Pressure: 6 kg/cm2, Air Consumption: 0.28m3/Min, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 1/4, Net Weight: 1.00Kgs",INR 13600.00,25% off,160,Drebon,,"Air Screwdriver, Push To Start, Auto Shut Off",This is a 1/4 Push To Start Auto Shut Off Air Screwdriver.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342254/ka7vdhab4earsvmebfbc.png
1/4 Push To Start Auto Shut Off Air Screwdriver,DB-SD-Q68PB,Screwdriver,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/-HEipCaN3EkEoSWo48orUQ/qt0wsw-LKClqzGojzIiW7RcuoNovUR-nIfRBK40cw8H53FusEY81dTVI8r40Ee8Vl3StPE4CT3TEb6L5RQeGpB3LOmGigt8ZsWm-jLAdwSqA62JskNg-ibeMl-eBQUr3FdneUd_mhogk-HwhZlXVp36c7sa_wtGY9bEvo_E7qCQ/Vq5t6yeOOigPY6g7aXuhYVOpw4rX7qPT30eeMTHY4mE),"Hex Shank Size: 1/4, Free Speed (RPM): 250, Torque Range: 50-280 Kgs/Cm, Screwing Capacity Mechanical: M6.0-M11.0, Screwing Capacity Self Tapping: M4.9-M8.7, Overall Length: 8.1/4/215mm, Diameter: 42mm, Air Pressure: 6 kg/cm2, Air Consumption: 0.28m3/Min, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 1/4, Net Weight: 1.00Kgs",INR 15500.00,25% off,160,Drebon,,"Air Screwdriver, Auto Shut Off, Push To Start, Pneumatic Screwdriver",This air screwdriver is designed for precise and controlled fastening operations with an auto shut-off feature.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342254/zx6euno7taj696vtym5h.png
1/4 Lever Start Auto Shut Off Air Screwdriver,DB-SD-Q30LB,Screwdriver,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/E53oPT8Q4AmfYQxFyKB9Dw/F_j0snfTRuWnaKDhmcPjZ2wJhxsEjigd7RJFpCvZN5MPWBqRxzmmk6VEnwEznLEVRC6ZWH8dTt_1y3HxIltRoxgujvgyz64HzaHIPBOc0mGVzDSYQjgiEa6v8q4gw0VnqoivDpFQ8ts0uJ3PxKzeGY_q3nz9qSlPmOz7QE5UojQ/dnlkwLufNfQoRTbi38O7hfnlgkjY_cegHMdKrUP5GhQ),"Hex Shank Size: 1/4, Free Speed (RPM): 1,800, Torque Range: 3-17Kgs/Cm, Screwing Capacity: Mechanical M2.2 - M4.2; Self Tapping M1.7 - M3.2, Overall Length: 7/180mm, Diameter: 34mm, Air Pressure: 6 kg/cm2, Air Consumption: 0.28m3/Min, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 1/4, Net Weight: 0.54Kgs",INR 10500.00,25% off,160,Drebon,,"Air Screwdriver, Lever Start, Auto Shut Off, Pneumatic Screwdriver",This air screwdriver features a lever start and auto shut-off for precise and efficient screw driving operations.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342255/cnfwyvlpye59zalje4a2.png
1/4 Air Die Grinder Composite Body (Front Exhaust),DB-DG-35F,Grinder,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/z9bStGhFCYLF3obniwHdDg/1LmTErP9jxeVLKv6jsqlofRt-1FyLmaLJzeaZjN3VF9tt_gT-we22OqBY0K-cw2lFuT_na8yVH8veW47bBPWnXHhmyPd5bQKtIppTjUDLNb6gtc5V4oN6FoOJMXSeGpjkSxqQsuHb9OrKcHOOToIavq0NcLkjnqXsXghj_YFb7U/Ho7_a3xUa7EYOZLso-Rpb13Gn9rtxh_IPipVGN6pM-Q),"Collet Size:1/4 / 6mm, Free Speed (RPM):22,000, Overall Length:, Air Inlet (Pt/Npt):1/4, Air Hose (ID):3/8, Avg. Air Consumption:4Cfm / 113L/min, Net Weight:0.50Kgs / 1.10Lbs",INR 1580.00,25% off,160,Drebon,,"Air Die Grinder, Composite Body, Front Exhaust, Grinder","This air die grinder is designed for precision grinding, polishing, and deburring applications.",https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342257/s3n0e5iwicsn3wwm2v6i.png
1/4 Air Die Grinder,DB-DG-33,Grinder,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/yZdV6mnWQ0L3TjPC7YGqQg/MMrWzAWRqsfDLdjYxrIqTftQ6Uhn8tk33BHm7nsHovw1hIBgS0LlKBcTGKMqaUxDSskUBGjGrO0g-pu424b5qSQ9zarAp863eIp2b4R5hgiSR8JD3FWP8KvFbctBWWZI5hXSqWhwN5dVwaD3BByLqQAlxMKz2-8llAhBDLDZx0c/uSuW5CNYraHEYn1G-bcMyCiR4ObP-KxF3HzVPgjtgt4),"Collet Size: 1/4 / 6mm, Free Speed (RPM): 22000, Overall Length: 6.3/10 / 160mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 4Cfm / 113L/min, Net Weight: 0.70Kgs / 1.54Lbs",INR 1995.00,25% off,160,Drebon,,"Air Die Grinder, Grinder, DB-DG-33",This is an air-powered die grinder designed for various grinding and finishing tasks.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342258/dlcvtzhluzgrlw7nj8td.png
1/4 Industrial Die Grinder,DB-DG-7200,Grinder,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/fX19H5P82th-q8YYUPj1xA/4HvMOuxISGAo0hSTPBLIsobXGVXTKXEuhrblIbQmmpZmiyL0lj1p2f7um0K6126kMFABrI_9FrRQKm9O9ET6ULX9TEbix9oK_6LquQ3cgM3BTLxg-CqsY0O5DkAak5KTdEJ9O0gFyuOuv3--_drIqTWLEC0U1EqZDHbdhArtNm8/Uny1uiQbZaBPrhxF_qsgbwjaUrGkzVZIvX34RGFKDV0),"Collet Size: 1/4 / 6mm, Free Speed (RPM): 25,000, Overall Length: 6 /153mm, Air Inlet (Pt/Npt): 1/4 , Air Hose (ID): 3/8, Avg. Air Consumption: 3.5Cfm/99L/min, Net Weight: 0.36Kgs / 0.80Lbs",INR 2810.00,25% off,160,Drebon,,"Industrial Die Grinder, Die Grinder, Grinder, Air Grinder, Pneumatic Grinder",An industrial die grinder suitable for various grinding applications.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342259/koxn9ogesgcfqyghgu2p.png
0.3HP 1/4 Mini Air Die Grinder,DB-DG-30,Grinder,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/xCZcbChhNe3iVc6HHxdpDQ/T2_-uqpC-QMjz_x7-H4-3XbXkmVhun-eSWldD_byZQAtwuhMkirKiQY_CfkC6rj7gz4dX9rSsfLdkPGFnAaHJa_G5UXEp-xm_Rj4QYbCizqv_r6gNy7EI6ttG49Q84fOWsqrFaT9Y39B4fH117u0haApovwoiN0U7sDrHRt-ZgU/HqAA5m0QyZ_UMtPZZsu5iY8u7CsImd1BgyV2T3VNXQQ),"Collet Size: 1/4 / 6mm, Free Speed (RPM): 25,000, Overall Length: 6.1/4/160mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 1/4, Avg. Air Consumption: 6Cfm/170L/min",INR 4195.00,25% off,160,Drebon,,"Mini Air Die Grinder, Air Grinder, Die Grinder, Grinder","Used for grinding, polishing, and deburring in various applications.",https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342260/nu7nvkrm8fbsspm5mpwe.png
1/4 Air Die Grinder Roll Type,DB-DG-17,Grinder,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/JVUyx4ny1eHhYh-h3-Nrqg/0qFaO7Ga5TrQqggldv7qJ2N6DQVlIJrI4-O17yuVvfEsQ4R-tiPBnTF3CwTnv0hcdpsJCMQ25pzGw763hgDio4HAuEEixXVM5yCB4x7Ukul7AB4a6kyEF8BPbIa6aUcH-IHJrMM5Zt6vxn6OVhyC5hNCBMKZYVn30xgr-g6xtzQ/AClR5QeB-y2bAZksFyNgZMxciNGbN7slBF8600k1Wto),"Collet Size: 1/4 / 6mm, Free Speed (RPM): 22,000, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Avg. Air Consumption: 4Cfm / 113L/min, Net Weight: 0.50Kgs / 1.10Lbs",INR 6660.00,25% off,160,Drebon,,"Air die grinder, roll type, pneumatic grinder, DB-DG-17",This 1/4 inch air die grinder roll type is used for various grinding applications.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342261/njpj6vdtntahaohlpll0.png
0.4HP 1/4 Air Die Grinder,DB-DG-54,Grinder,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/JYLs-DGLXyTSfsTZgQq9Tg/5QbLfOG3GdkkUdmazXEPvE1-vrTqgwegvCNYvkSdFzsAjoIArwT9_K2BPRahdnVmy2gsOJ7hVHICyEoGjZ7bnWbgCvUKNQrWalMZeXGC22bakqMy2XNxoaYEg0rsQsfHDXAU5N8Oo6d-_C3oulXgyJqUK0EHRgSM8y_R3Pp12Is/s0TnG07o_u3bu9Tu2dyngPq-mSZCGpe59X7PlkZTfHQ),"Collet Size: 1/4 / 6mm, Free Speed (RPM): 22,000, Overall Length: 6.1/4/175mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 1/4, Avg. Air Consumption: 6Cfm/170L/min",INR 5800.00,25% off,160,Drebon,,"Air Die Grinder, Grinder, Pneumatic Grinder, Die Grinder","Used for grinding, polishing, and deburring various materials with compressed air.",https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342262/m0wpgjjh8ol4yv4ja0to.png
Air Angle Die Grinder (Front Exhaust),DB-DG-305G,Grinder,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/gJfS7gepvLtr6Xt-O7DXBg/FRpMFzpeC8SlY6wvpCztMjmW8S_Tjd3Nc6_oJE8NQvJg391qnipGsxCpnY4SLvep_ly1BfxTNFMfAB0tchk2jmrN_ANFbu9S07biPcFKSV9dQRox9h0sx8i7QCp2hyfy2hdeaYTD3BFqybRpZatDjYqS85y13AYu0cz0tbAoi9c/zhDNGx5IR4SfhkF32GeVYWtUpjLUqHEnZ5yvj0c4qE0),"Collet Size: 1/4 / 6mm, Free Speed (RPM): 20,000, Overall Length: 6.5/16/160mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 1/4, Avg. Air Consumption: 4Cfm/113L/min",INR 4920.00,25% off,170,Drebon,,"Air Angle Die Grinder, Front Exhaust",This air angle die grinder is designed for various grinding applications.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342263/brfrcoqjosamntogtp8j.png
Air Mini Die Grinder,DB-DG-205,Grinder,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/e6ibehVfh7sjBVw9Ei7CSg/08Jx2EhBICzvG0YUNOdERTDgMdnGJqp6u5wUIC1_YhtvtZA_py6kT1lm0MLtv-tliLXwIufP_NzLJG56Ce9V-MDBNSgE998dHQtyTWbLhsf-6h6QkNeiDqtHQV-6tXAzyl1O0wohWMJfd41UUM0WGVRYVLavPY_laT6vsxe7qyw/nu9so6i5rvO_Gsq3_z-VrVUBfHHluPVbWpiCSsNmXJ8),"Collet Size: 1/4 / 6mm, Free Speed (RPM): 25,000, Overall Length: 4.3/4/120mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 1/4, Avg. Air Consumption: , Net Weight: 0.65Kgs / 1.44Lbs",INR 2740.00,25% off,170,Drebon,,"Air Mini Die Grinder, Grinder, Die Grinder, Pneumatic Grinder, Mini Grinder, Air Tool","A compact pneumatic tool used for precision grinding, polishing, and deburring tasks.",https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342264/dtggfnbuzksqopfdkvgw.png
Air INDUSTRIAL Angle Die Grinder Roll Type,DB-DG-20ADG,Grinder,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/niy9QT8Y6JgPC5vorTJXRg/BkFY6DoqZ4H4jxv7U64D3BNT_B9paiIo7-kgK-KcPblMXXhVh6X9uLLvJLJPXEfEmF-O2WqKrGrdz0MNER_Q70orLmw14A2caG1e-NkbNSOnMtrxn6VEmMdnR0sf_zzIN41EIHea07v7qC7OmY6xErfaQGUhv6-HM2GRctorxmA/YR1nHQ03Tz7la3JaFbm9pKQGkhYSJxD37vHvDTBlexg),"Collet Size: 1/4 / 6mm, Free Speed (RPM): 15,000, Overall Length: 6.5/16/160mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 1/4, Avg. Air Consumption: 4Cfm/113L/min",INR 15060.00,25% off,170,Drebon,,"Air Grinder, Industrial Grinder, Angle Die Grinder, Roll Type Grinder",An industrial air-powered angle die grinder for various grinding applications.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342265/kxseuw6uo9b0c6wgf6fb.png
Air Angle Die Grinder (Front Exhaust) 1.3HP,DB-DG-36M,Grinder,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/xmQ8i0qN1K4lm30oFDqfUw/x19ieKHbP-x40yUkrcL-jEI6tx01g8sAjCX5bGuWCJo7bQO3ga9Pv4ISXQsKoFnB2ktWvEcpc8Di0HJlskE53Jvv5X9rfODVZ4gkyDYn69yMvD8xQhSeArZVp6Io1fuCH0b0wvDPA8wDrKImpspMWr_4C_6bVsc3L-UA2aVl550/Sx_LW32duPfy6ko2jD_n_8lebzGeSyRb9Fo7QykZ_w4),"Collet Size: 1/4 / 6mm, Free Speed (RPM): 20,000, Overall Length: 6.5/16/160mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 1/4, Avg. Air Consumption: 4Cfm/113L/min",INR 7815.00,25% off,170,Drebon,,"Air Angle Die Grinder, Front Exhaust, 1.3HP, Grinder, Die Grinder, Angle Grinder",An air-powered angle die grinder with front exhaust and 1.3HP motor.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342266/jegmwuqa0iokdvrdaqag.png
Air INDUSTRIAL Angle Die Grinder Roll Type,DB-DG-108L,Grinder,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/8tu7JHan8exLCNOphPSzRA/mTheiDhZHqQG-SI_HJ9g9jVinnTs43QwYRcx4O6XPiqQO1FQl0jJ1rUYWZZ6nrgxuVelowNpJYIFl7uMGcTnHrFEXaJNVzcrXqohGq2YsImpf30v7b3OzlRUDN7v9S6oRp3rks7u1I-3Q681HMxsmWDdP_e77a3hk7pjDGRX7Kw/o6opwctU19goU4wlbHyIG8JsrY_p6OOPBhRVQeDqKcI),"Collet Size: 6mm, Free Speed (RPM): 15000, Avg. Air Consumption: 0.59m³/min, Using pneumatic Press: 65kgf/m2",INR 5990.00,25% off,170,Drebon,,"Air Grinder, Industrial Grinder, Angle Die Grinder, Roll Type Grinder, Pneumatic Grinder",Operates with pneumatic press.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342267/tdutamvyzjisnpw6wnck.png
0.4HP Industrial Roll Type Throttle Extended Air Die Grinder,DB-DG-3050 (IND),Grinder,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/Q9lyUGBGnM3k9ykvSyBWqw/bR-5iPPRVHZFOXg-e275NtOaONT3ayRPXbwg6MGhC9SyiBXDotYtfEZqH1cni8xx94qgrx5QLecnJqoWhy9xthqFkCSuHsvOJMPAcZF4ghGLBcGPWJN16gwF9QP0Y1OAisf4CjreLkdCreUCOSRW-fY6ZsirpthwJokZwrfzM2Y/XJyp7E1jvQyHfbTkomHwrq4sX9EXWXSk7nG9BayZdeE),"Collet Size: 1/4 / 6mm, Free Speed (RPM): 24,000, Overall Length: 8.7/10 / 264.40mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 3/8, Net Weight: 0.73Kgs / 3.40Lbs",INR 14045.00,25% off,170,Drebon,,"Industrial, Roll Type, Throttle, Extended, Air, Die Grinder","Used for grinding, polishing, and deburring in industrial applications.",https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342268/geottwbwqihblgudaegu.png
Air Die Grinder (Long Body) Roll Type,DB-DG-3050,Grinder,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/E0hi7A8lb1qtSzbt2nspbA/jsDRL7Nfdi-effEbyug7s2bnOsgoDDwmeJaYE-9kdqr-UiHZ6AwrF3XHYJspY3S19GLX5eG-pT3SKFyNTiDrcz1WFeQ5LCHFaZjcbdssDXmChVU5fzkmG3PZkgr8CCLYPAsPJ8Epg4QYquYQgZTncJnxp1GJA61_gVI8XxqWdDo/xzngqyz1kjUWgR8zY_K5kgyOq1NJ3kMHlrSit9QqBHo),"Collet Size: 1/4 / 6mm, Free Speed (RPM): 15,000, Overall Length: 13.1/2 / 345mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 1/4, Net Weight: 1.55Kgs / 3.40Lbs",INR 11110.00,25% off,170,Drebon,,"Air Die Grinder, Long Body, Roll Type, Grinder, Pneumatic Grinder","This air die grinder is used for precision grinding, polishing, and deburring applications.",https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342269/do4vpgaw6xlxf3ifbn8q.png
0.4HP Industrial Roll Type Throttle Extended Air Die Grinder,DB-DG-380L,Grinder,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/vJzMOeBXkMufXn8ezH6SaA/l0jcLDbjFaT_GCua9SzAbQd2OBORJ5cSLa4ILrYYC8AwcUiOg29S0ssxjXv5yCHePeJdJra4CspjJnOGaf1vRDHTux4QpedQUU5VgrVKKFIffYlCBdOaZtBxISf8iqVoLZTsq98tbbd7TO1AckXGJV8RijRYTlkNSPJE8XgHx_o/aeg4zv8xRvBw05ImCxCunwYaygHuQu9bBk-wZglCJIo),"Collet Size: 1/4 / 6mm, Free Speed (RPM): 24,000, Avg. Air Consumption: 0.58m³/min, Using pneumatic Press: 6kgf/m2",INR 8990.00,25% off,170,Drebon,,"Industrial Roll Type, Throttle Extended, Air Die Grinder, 0.4HP, New Product",An industrial roll type throttle extended air die grinder with 0.4HP for various grinding applications.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342270/intxvloncxc9bht7l9at.png
0.4HP Industrial Roll Type Throttle Air Die Grinder,DB-DG-380,Grinder,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/0N4PRerhjIus7PCwna8d9Q/6oCo5y3fosgwfr0vPsMgERzq7DCBFFCZFMOJFLteed2WOUTTokRf3jmog5NSUbFU26umSAIx-T_gYrRxhMJgcZyZIvvHFPrGMPcxdbbjRkPbYMOvxeaUPXNWJyR8tZudDCm1N2psZV1o7A39QLepmD48Cdh4wqkgKGOZn0-Vbz4/9SiECqIH51NaC-zI2UGpvdKNsKi5wS-bdAKjCzMe2cw),"Collet Size: 1/4 / 6mm, Free Speed (RPM): 24,000, Avg. Air Consumption: 0.4m³/min, Using pneumatic Press: 6kgf/m2",INR 4995.00,25% off,170,Drebon,,"New Product, Industrial, Air Die Grinder, Throttle, Roll Type",This is a 0.4HP industrial roll type throttle air die grinder.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342271/w37vfa43mx5h4zbfbybk.png
Roll Throttle Type Micro Die Grinder,DB-MD-70,Grinder,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/JNhU7WGXZ0VqVq52O_NU6w/rC-00MQDyv53b1OOB5L10j6G9AFPMbdVox-zNXBMWHXkl02R-MO3GX4GYhlZXupLm6DgUarxTu1mWUC9BYDgyAbK-ZjzTnFn_U9gZ_IqJeGc30YJT2om1d2SA7TQbC5meyGTRV8EQyfnvffxlm8y-Bw_ml05C3z92tQKdt_n5kw/9Enaf-fKPNZSGNkXt1_qTcwcC0s2zn6iITbij3Ua5iI),"Collet Size: 1/8 / 3mm, Free Speed (RPM): 54,000, Overall Length: 5.1/4 / 132mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 1/4, Avg. Air Consumption: 2Cfm/57L/min, Net Weight: 0.20Kgs / 0.50Lbs",INR 7225.00,25% off,170,Drebon,,"Micro Die Grinder, Roll Throttle, Grinder, Die Grinder",A micro die grinder with a roll throttle for precision grinding tasks.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342272/s7s9tytrp9fkfjg8neoj.png
3mm INDUSTRIAL MICRO GRINDER WITH ROLL TYPE THROTTLE,DB-RYG-135M,Grinder,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/82jXRdUWr2mZj0ErApm32w/IDCcu5ZMxPABijOhAgZZyPJ9Us8zcrQFNqbkFiCEGjbKPQQMSenHwAMCUIhF4hLzsNOnuw1KNLbZmJTksOydhdfnCcxvjFEimqw67IOsWFI2xCD7oF4FgWQ91oY6AXP-60OMDgR-0w-1E8m4kI2hVQLVSuu91TZm4oUHZQxdrfA/3kiTKWznDNfU6mBiqvqCT6LaEL3oJISsO8XmxjEXreQ),"Collet Size: 1/4 / 6mm, Free Speed (RPM): 35,000, Overall Length: 5.1/4 / 132mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 1/4, Avg. Air Consumption: 2Cfm / 57L / min, Net Weight: 0.20Kgs / 0.50Lbs",INR 11850.00,25% off,170,Drebon,,"Industrial Micro Grinder, Roll Type Throttle",This is a 3mm industrial micro grinder with a roll type throttle.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342273/kxwnyaasxblugvwwfjux.png
Roll Throttle Type Micro Die Grinder,DB-MD-80,Grinder,,"Collet Size: 1/8 / 3mm, Free Speed (RPM): 70,000, Overall Length: 5.1/4 / 132mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 1/4, Avg. Air Consumption: 2Cfm/57L/min, Net Weight: 0.20Kgs / 0.50Lbs",INR 10190.00,25% off,170,Drebon,,"Roll Throttle Type, Micro Die Grinder, Die Grinder, Grinder, Air Grinder",Used for precision grinding and polishing tasks in tight spaces.,
Roll Throttle Type Micro Die Grinder,DB-MD-3170,Grinder,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/Kx-zVGgA96jYiHmqUEZoyQ/g9zRFMZ24edmmEMkrQwHdf59f49Ub3pqX9Loh6SNpvsEhJlDxhiFHCt6QeZpjHt_wcn9vnqk4vb3yxAgHfQGFb53Ks6xKOBrMY__naLy0_lMjVXiW0qwFs9pIemslSpoWQr6DgB2ek9mWat6ool6vP-zVpmpDiEkmHAIq5ZKooo/OeuOy-mzmfxNNCssIxENQG8W__2CMokP5wvFsv815ls),"Collet Size: 3mm, Free Speed (RPM): 56,000, Overall Length: 5.1/4/132mm, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 1/4, Avg. Air Consumption: 2Cfm/57L/min, Net Weight: 0.20Kgs / 0.50Lbs",INR 5245.00,25% off,180,Drebon,,"Roll Throttle Type, Micro Die Grinder, Grinder, Die Grinder, Air Grinder",A roll throttle type micro die grinder for precision grinding tasks.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342274/zpurgtsnr1p2mdx2k3jb.png
Air Nipper,DB-N-72,Nipper,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/o9DVPznh5Q2akMBvnCG0-A/X9eKDgjEo0bBQcAbbWHUk7q2cgSumpLREx-Z9cUIOQA2gIpAV0JkPReuc8MTi668gBfumz3ysrNjIFvA10H2OJJ7qJLFRzuCtDtesEQlLf-cOeoRnZu_6JjN-gB9gtYbS0K-m1Ho2-b0ssd6B2Hpi06j6cagLXnce-TrbHxvI78/5L4-mE3WNnCbkoBAPB-LNIPEZEmxzsQcVGHYDt_o_6A),"Cutting Capacity: 0.5mm Steel, 1mm Cooper, 2mm Plastic, Power: 40Kg-cm, Air Inlet (Pt/Npt): 1/4 inch, Air Hose (ID): 1/4 inch, Avg. Air Consumption: 0.6Cfm / 17L/min",INR 6800.00,25% off,180,Drebon,,"Air Nipper, DB-N-72, Cutting, Steel, Cooper, Plastic","An air-powered nipper designed for cutting various materials like steel, copper, and plastic.",https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342275/em3bzwgtzkqp9qe0k1ke.png
Roll Throttle Type Micro Die Grinder,DB-MD-1120,Grinder,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/rZC8IyJ9vDbQ1S1iK8zniA/A3hyb7ZeHmtulkhSU5HvNW5rws8BAXB7-3Mfb-dyU3qJduQQ8O3FOY0_8XT5v3ZKtuqLxIefw1RC_CVdECphT6FG91HCpemxfXzuT_S6klJerlLSlosHX8KgcANvhO6GskbzNdv8OJYdINhbfW3KYUpPhWXAyWbvyIcHcyRZ90M/a5KC_WJexI4Nivnf-x44BvCNk5ter2g55m5WsQvW1E4),"Collet Size: 3mm, Free Speed (RPM): 65,000, Avg. Air Consumption: 0.13m³/min, Using pneumatic Press: 4-5kgf/m2",INR 1600.00,25% off,180,Drebon,,"Roll Throttle, Micro Die Grinder, Grinder, Pneumatic Tool",Used for precision grinding tasks with pneumatic power.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342276/kwkqmiuuygdqmcmj6ocy.png
Air Nipper,DB-N-73,Nipper,,"Cutting Capacity: 1mm Steel, 1.5mm Cooper, 4mm Plastic, Power: 60Kg-cm, Air Inlet (Pt/Npt): 1/4 inch, Air Hose (ID): 1/4 inch, Avg. Air Consumption: 0.6Cfm / 17L/min",INR 7530.00,25% off,180,Drebon,,"Air Nipper, cutting, steel, cooper, plastic, pneumatic","An air-powered tool designed for precise cutting of materials such as steel, cooper, and plastic.",
3 Heavy Duty Air Cut Off Tool,DB-CO-27,Grinder,db-i-32.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759356000000/x-vAUj_wRVyJDIpo3rAqVQ/D8uce2QYAIkCD6WFfa-3JfEVzOrfuxKOA--Fjv3DL3ehQdc7iq-d4HuflQlAZhEYbmCoQwCUKoeYkH4wsLqFLwOu2-iafusiJtVnl5r3gCOIpT1fPxGaEt3gbdsFV9M0mSiz34gR79E7_kO_4C7SYHhzqcXrvKigXfBdrE7NkJA/NRd3Co1ebwxeYFeOmrWtlcpdlSLdwbzExHtPoGnZ_0w),"Cutting Wheel Size: 3, Free Speed (RPM): 18000, Air Inlet (Pt/Npt): 1/4, Air Hose (ID): 1/4, Avg. Air Consumption: 6Cfm/170L/min, Net Weight: 0.80Kgs / 1.80Lbs",INR 3705.00,25% off,180,Drebon,,"air cut off tool, heavy duty, grinder, cutting tool, pneumatic tool",This heavy-duty air cut off tool is ideal for various cutting applications.,https://res.cloudinary.com/dkse0bpnm/image/upload/v1759342277/cqkqrvwitqgyfatqeeck.png
